userId,movieId,rating,timestamp
1,1,3,1585582861
1,9,5,1093349856
1,8,4,1453035110
1,18,4,1034126396
1,5,3,1031994523
1,12,3,1100604502
1,2,2,1234760738
1,11,5,1249817734
1,15,4,1542621108
2,18,4,1006977991
2,7,1,1171432881
2,20,5,1453778756
2,14,5,1365341213
2,8,3,1298362082
2,16,3,1166944844
2,10,3,1231191390
2,5,3,1361415646
3,3,4,1493303705
3,13,4,1575770529
3,4,3,1134031070
3,12,4,1406448196
3,17,2,1084611066
3,10,3,1592749116
3,5,3,1314797776
3,19,4,1388302652
3,1,5,1206468299
4,2,3,1486845604
4,8,4,1391735568
4,10,4,1174648506
4,3,1,1397478786
4,19,4,1381469012
4,14,3,1224956459
4,20,2,1286665249
4,7,5,1076667861
4,5,5,1183758720
5,6,5,1338715135
5,15,3,1430747414
5,13,2,1287484583
5,9,4,1071069472
5,8,4,1226541099
5,11,2,1337882805
5,20,4,1228306011
5,18,1,1536045484
5,1,5,1424806516
5,4,3,1492688426
5,12,4,1153407200
6,5,3,1529908599
6,8,4,1097613238
6,18,4,1050590821
6,9,3,1117734861
6,14,5,1164112119
6,15,5,1171779360
6,10,5,1453290810
6,7,5,1068212356
6,6,4,1413140753
6,4,5,1409760584
6,3,2,1502564736
6,17,3,1568132202
7,18,1,1537500247
7,1,3,1191825997
7,4,3,1545119047
7,9,3,1114257751
7,11,5,1320452650
7,2,3,1545098869
7,5,3,1213579170
7,7,4,1164109919
7,3,2,1401486939
7,8,5,1173461957
7,19,2,1579153816
7,14,5,1569462919
8,20,5,1330190783
8,11,3,1257109965
8,16,1,1062196678
8,1,5,1258633898
8,4,4,1084564737
8,15,4,1091969690
8,6,5,1521828280
8,13,2,1074316370
9,5,3,1579064766
9,16,2,1215984311
9,18,5,1334702822
9,6,4,1428414718
9,9,3,1400957212
9,19,2,1470406376
9,14,3,1555742829
9,10,3,1484779555
9,7,4,1129927269
9,4,4,1266186631
10,3,5,1072370545
10,11,4,1033729406
10,1,2,1354794895
10,8,4,1076082500
10,17,5,1552070932
10,18,4,1255555531
10,2,5,1299012686
10,12,4,1521209849
10,19,4,1230035022
10,15,4,1578998028
10,4,1,1142068763
11,8,2,1105675387
11,16,1,1065082363
11,14,4,1432311310
11,7,3,1364323393
11,4,4,1117326729
11,2,5,1266992705
11,11,3,1205718272
11,17,4,1204235259
11,6,5,1575832441
11,13,3,1481695135
11,18,2,1150519597
11,20,3,1452991960
11,1,3,1197018781
11,12,5,1299085574
11,10,5,1496743109
12,3,4,1436383774
12,15,5,1521453189
12,18,5,1516854671
12,4,3,1229509408
12,2,5,1430613729
12,11,4,1062959284
12,9,5,1176777762
12,1,5,1406919288
12,16,3,1002314313
12,17,2,1419212169
12,20,3,1284759615
13,10,4,1511947770
13,14,5,1539931481
13,18,5,1570292350
13,16,1,1169042105
13,5,4,1061073976
